Parameter,Scenario,Value,SD
Tree,Earthworm,1,0
Herb,Earthworm,1,0
earthworm,Earthworm,1,0
RootHerb,Earthworm,0,0
Detritivore,Earthworm,0,0
DetPredator,Earthworm,0,0
MAT,Earthworm,6,0
T_amp,Earthworm,26,0
MAtheta,Earthworm,0.3,0
theta_amp,Earthworm,0.15,0
pct_claysilt,Earthworm,70,0
fCLAY,Earthworm,0.4,0
LigFrac,Earthworm,0.2,0
NPP_herb,Earthworm,50,0
NPP_tree,Earthworm,1270,0
pH,Earthworm,6,0
BD,Earthworm,1300,0
d_earthworm,Earthworm,0.01764422,0
a_earthworm,Earthworm,0.5,0
a_earthworm_soil,Earthworm,0.09,0
p_earthworm,Earthworm,0.053,0
E_earthworm,Earthworm,0,0
c_earthworm_litter,Earthworm,0,0
c_earthworm_soil,Earthworm,1.89202e-4,0
c_earthworm_om,Earthworm,0,0
prop_feaces_earthworm_LMWC,Earthworm,0,0
k_b_slope_pint,Earthworm,-0.02,0
Tree,Isopod,1,0
Herb,Isopod,1,0
earthworm,Isopod,0,0
RootHerb,Isopod,0,0
Detritivore,Isopod,1,0
DetPredator,Isopod,0,0
MAT,Isopod,6,0
T_amp,Isopod,26,0
MAtheta,Isopod,0.3,0
theta_amp,Isopod,0.15,0
pct_claysilt,Isopod,70,0
fCLAY,Isopod,0.4,0
LigFrac,Isopod,0.2,0
NPP_herb,Isopod,50,0
NPP_tree,Isopod,1270,0
pH,Isopod,6,0
BD,Isopod,1300,0
d_detritivores,Isopod,0.1,0
a_detritivores,Isopod,0.5,0
p_detritivores,Isopod,0.35,0
E_detritivores,Isopod,0,0
c_detritivores,Isopod,5e-5,0
slope_pint_det_k_frag_litter,Isopod,0.0601,0
slope_pint_det_k_frag_organic,Isopod,0,0
Tree,Mite,1,0
Herb,Mite,1,0
earthworm,Mite,0,0
RootHerb,Mite,0,0
Detritivore,Mite,1,0
DetPredator,Mite,0,0
MAT,Mite,12,0
T_amp,Mite,20,0
MAtheta,Mite,0.2,0
theta_amp,Mite,0.1,0
pct_claysilt,Mite,45,0
fCLAY,Mite,0.3,0
LigFrac,Mite,0.2,0
NPP_herb,Mite,50,0
NPP_tree,Mite,1270,0
pH,Mite,6,0
BD,Mite,1300,0
d_detritivores,Mite,0.00567,0
a_detritivores,Mite,0.5,0
p_detritivores,Mite,0.35,0
E_detritivores,Mite,0,0
c_detritivores,Mite,2.16e-5,0
slope_pint_det_k_frag_litter,Mite,0.0601,0
slope_pint_det_k_frag_organic,Mite,0,0
Tree,MitePredator,1,0
Herb,MitePredator,1,0
earthworm,MitePredator,0,0
RootHerb,MitePredator,0,0
Detritivore,MitePredator,1,0
DetPredator,MitePredator,1,0
MAT,MitePredator,12,0
T_amp,MitePredator,20,0
MAtheta,MitePredator,0.2,0
theta_amp,MitePredator,0.1,0
pct_claysilt,MitePredator,45,0
fCLAY,MitePredator,0.3,0
LigFrac,MitePredator,0.2,0
NPP_herb,MitePredator,50,0
NPP_tree,MitePredator,1270,0
pH,MitePredator,6,0
BD,MitePredator,1300,0
d_detritivores,MitePredator,0.00567,0
a_detritivores,MitePredator,0.5,0
p_detritivores,MitePredator,0.35,0
E_detritivores,MitePredator,0,0
c_detritivores,MitePredator,2.16e-5,0
slope_pint_det_k_frag_litter,MitePredator,0.0601,0
slope_pint_det_k_frag_organic,MitePredator,0,0
d_detpredator,MitePredator,0.0050411,0
a_detpredator,MitePredator,0.6,0
p_detpredator,MitePredator,0.35,0
E_detpredator,MitePredator,0,0
c_detpredator,MitePredator,0.0168,0
Tree,RootHerbivore,0,0
Herb,RootHerbivore,1,0
earthworm,RootHerbivore,0,0
RootHerb,RootHerbivore,1,0
Detritivore,RootHerbivore,0,0
DetPredator,RootHerbivore,0,0
MAT,RootHerbivore,10,0
T_amp,RootHerbivore,26,0
MAtheta,RootHerbivore,0.3,0
theta_amp,RootHerbivore,0.15,0
pct_claysilt,RootHerbivore,70,0
fCLAY,RootHerbivore,0.4,0
LigFrac,RootHerbivore,0.2,0
NPP_herb,RootHerbivore,433,0
NPP_tree,RootHerbivore,0,0
pH,RootHerbivore,6,0
BD,RootHerbivore,1300,0
c_rootherb,RootHerbivore,0.001,0
d_rootherb,RootHerbivore,0.5,0
a_rootherb,RootHerbivore,0.4,0
p_rootherb,RootHerbivore,0.37,0
E_root_herb,RootHerbivore,0,0
k_exudate_intercept,RootHerbivore,2.74e-5,0
k_exudate_slope,RootHerbivore,1.3e-5,0
